区域,小区名称,房屋户型,面积,朝向,楼层,电梯,租金
顺义,石园东区,2室1厅1卫,69㎡,南北,低楼层/6层,无,3000
顺义,恒华安纳湖,2室1厅1卫,91㎡,南北,中楼层/15层,有,2900
亦庄开发区,宏仁家园,2室2厅1卫,89㎡,南北,中楼层/28层,有,3800
顺义,港馨家园东区,2室1厅1卫,82㎡,南北,高楼层/6层,无,2600
大兴,联港嘉园A区,2室1厅1卫,90㎡,南北,低楼层/6层,无,3000
顺义,石园西区,2室1厅1卫,60㎡,南北,中楼层/6层,无,2800
房山,昊天温泉家园,2室2厅1卫,107㎡,南北,高楼层/6层,无,2600
通州,徐辛庄,3室1厅1卫,90㎡,南北,高楼层/6层,无,2600
石景山,高井,2室1厅1卫,61㎡,南北,高楼层/6层,无,3200
顺义,佳和宜园,2室1厅1卫,89㎡,南北,高楼层/6层,无,3000
房山,花园巷小区,2室1厅1卫,72㎡,南北,高楼层/6层,无,2400
石景山,广宁村,2室1厅1卫,60㎡,南北,高楼层/6层,无,3000
房山,月华北大街,3室1厅1卫,124㎡,南北,中楼层/6层,无,2500
顺义,港馨家园东区,2室1厅1卫,82㎡,南北,高楼层/6层,无,2600
顺义,石园东区,2室1厅1卫,77㎡,南北,低楼层/6层,无,3000
房山,行宫园一里,2室1厅1卫,87㎡,南北,低楼层/11层,有,2300
顺义,泰和谊园,3室1厅1卫,92㎡,南北,高楼层/6层,无,2900
房山,昊天大街17号院,2室1厅1卫,57㎡,南北,中楼层/5层,无,2200
房山,黄辛庄东里,2室1厅2卫,93㎡,南北,高楼层/6层,无,2600
房山,加州水郡Q酷,2房间1卫,55㎡,西南,中楼层/14层,有,2400
顺义,石园东区,2室1厅1卫,69㎡,南北,低楼层/6层,无,3000
顺义,恒华安纳湖,2室1厅1卫,91㎡,南北,中楼层/15层,有,2900
朝阳,东平里,2室1厅1卫,66㎡,南北,中楼层/6层,无,4000
丰台,卢西嘉园,2室1厅1卫,81㎡,南北,中楼层/6层,无,3600
顺义,馨港庄园三区,1室1厅1卫,68㎡,南北,中楼层/6层,无,3000
房山,行宫园三里,3室1厅1卫,81㎡,南北,低楼层/6层,无,2600
顺义,马坡花园一区,2室2厅1卫,83㎡,南北,高楼层/6层,无,2800
门头沟,峪园小区,2室1厅1卫,64㎡,南北,中楼层/6层,无,2500
房山,昊天温泉家园,2室1厅1卫,78㎡,东西,高楼层/6层,无,2100
房山,建华北里小区,2室1厅1卫,70㎡,东西,高楼层/6层,无,2400
石景山,天翠阳光新城,2室1厅1卫,74㎡,南北,高楼层/16层,有,3550
房山,行宫园四里,2室1厅1卫,96㎡,南北,低楼层/13层,有,2500
亦庄开发区,宏仁家园,3室1厅1卫,89㎡,南北,低楼层/28层,有,4000
朝阳,广播大院,2室1厅1卫,54㎡,南北,中楼层/6层,无,4800
大兴,联港嘉园A区,2室1厅1卫,90㎡,南北,低楼层/6层,无,3000
亦庄开发区,宏仁家园,2室1厅1卫,91㎡,东西,高楼层/28层,有,3300
房山,加州水郡Q酷,2房间1卫,55㎡,西南,中楼层/14层,有,2400
门头沟,滨河楼小区,2室1厅1卫,54㎡,东西,高楼层/4层,无,2300
顺义,马坡花园一区,2室2厅1卫,83㎡,南北,高楼层/6层,无,2800
房山,行宫园四里,2室1厅1卫,96㎡,南北,低楼层/13层,有,2500
石景山,天翠阳光新城,2室1厅1卫,74㎡,南北,高楼层/16层,有,3550
门头沟,峪园小区,2室1厅1卫,64㎡,南北,中楼层/6层,无,2500
顺义,仁和花园一区,1室1厅1卫,60㎡,西,低楼层/15层,有,2800
房山,昊天温泉家园,2室1厅1卫,78㎡,东西,高楼层/6层,无,2100
顺义,港馨家园西区,2室1厅1卫,90㎡,南北,高楼层/6层,无,3000
顺义,石园东苑,2室1厅1卫,83㎡,南北,高楼层/6层,无,3000
朝阳,广播大院,2室1厅1卫,54㎡,南北,中楼层/6层,无,4800
亦庄开发区,宏仁家园,3室1厅1卫,89㎡,南北,低楼层/28层,有,4000
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2400
房山,昊天大街17号院,2室1厅1卫,56㎡,南北,中楼层/5层,无,2100
朝阳,北平里,3室1厅1卫,84㎡,南北,高楼层/6层,无,4600
大兴,福苑小区,2室1厅1卫,69㎡,南北,中楼层/6层,无,3000
顺义,仁和花园一区,2室1厅1卫,72㎡,南北,高楼层/13层,有,2900
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2200
房山,花园巷小区,3室1厅1卫,86㎡,南北,高楼层/6层,无,2600
亦庄开发区,泰河园三里,1室1厅1卫,56㎡,南北,中楼层/6层,无,3500
房山,花园巷小区,2室1厅1卫,76㎡,南北,中楼层/6层,无,2500
顺义,石园北区,1室1厅1卫,70㎡,南北,中楼层/6层,无,2900
门头沟,大峪南路,2室1厅1卫,54㎡,南北,低楼层/6层,无,2400
朝阳,红松园小区,2室1厅1卫,55㎡,南北,低楼层/6层,无,4100
朝阳,双桥北内小区,2室1厅1卫,73㎡,南北,低楼层/7层,无,4700
朝阳,双桥五号井,2室1厅1卫,75㎡,南北,高楼层/6层,无,4100
顺义,石园东区,2室1厅1卫,71㎡,南北,高楼层/6层,无,3000
大兴,联港嘉园D区,2室1厅1卫,90㎡,南北,中楼层/6层,无,3000
门头沟,永新小区,2室1厅1卫,61㎡,南北,高楼层/6层,无,2500
大兴,观音寺南里,2室1厅1卫,61㎡,南北,中楼层/6层,无,3000
顺义,康乐小区,2室1厅1卫,81㎡,南北,中楼层/6层,无,2600
顺义,港馨家园东区,3室1厅1卫,112㎡,南北,高楼层/6层,无,2500
丰台,东山坡一里,2室1厅1卫,56㎡,南北,高楼层/6层,无,2800
丰台,东山坡一里,2室1厅1卫,62㎡,南北,低楼层/6层,无,3200
顺义,滨河小区,1室1厅1卫,61㎡,南北,低楼层/5层,无,2500
亦庄开发区,宏仁家园,2室2厅1卫,87㎡,南,中楼层/28层,有,3700
顺义,滨河小区,1室1厅1卫,60㎡,南北,低楼层/6层,无,2600
顺义,港馨家园东区,2室1厅1卫,98㎡,南北,中楼层/9层,有,3000
顺义,港馨家园东区,2室1厅1卫,97㎡,南北,中楼层/8层,有,3000
顺义,樱花园一区,2室1厅1卫,80㎡,南,高楼层/6层,无,3000
房山,体育场路26号院,2室1厅1卫,73㎡,南北,高楼层/6层,无,2100
亦庄开发区,南海雅苑北区,1室1厅1卫,66㎡,东,低楼层/22层,无,3400
大兴,鹿海园三里,1室1厅1卫,58㎡,南,低楼层/6层,无,3000
朝阳,红松园小区,2室1厅1卫,55㎡,南北,低楼层/6层,无,4100
丰台,西宏苑,2室1厅1卫,61㎡,南北,高楼层/6层,无,3800
亦庄开发区,宏仁家园,2室2厅1卫,89㎡,南北,中楼层/28层,有,3800
顺义,滨河小区,3室1厅1卫,84㎡,南北,高楼层/6层,无,3000
大兴,隆盛园,2室2厅1卫,101㎡,南北,中楼层/6层,无,2800
大兴,华远和墅,2室1厅1卫,90㎡,南,低楼层/6层,无,2900
大兴,北京城建北京密码,3房间2卫,71㎡,西,低楼层/7层,无,2500
顺义,康乐小区,2室1厅1卫,82㎡,南北,高楼层/6层,无,2800
顺义,石园东区,2室1厅1卫,71㎡,南北,高楼层/6层,无,3000
大兴,康盛园,1室1厅1卫,57㎡,南北,高楼层/6层,无,3300
顺义,龙湖大名居,2室1厅1卫,88㎡,南,低楼层/8层,有,3000
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2400
房山,昊天大街17号院,2室1厅1卫,56㎡,南北,中楼层/5层,无,2100
顺义,石园北区,2室1厅1卫,69㎡,南北,高楼层/6层,无,2600
门头沟,和平路33号院,2室1厅1卫,66㎡,南北,高楼层/6层,无,2500
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2200
丰台,程庄路68号院,2室1厅1卫,58㎡,南北,中楼层/6层,无,3800
门头沟,七棵树西大街,2室1厅1卫,70㎡,南北,低楼层/6层,无,2400
大兴,福苑小区,2室1厅1卫,69㎡,南北,中楼层/6层,无,3000
朝阳,北平里,3室1厅1卫,84㎡,南北,高楼层/6层,无,4600
顺义,仁和花园一区,2室1厅1卫,72㎡,南北,高楼层/13层,有,2900
房山,花园巷小区,2室1厅1卫,76㎡,南北,中楼层/6层,无,2500
房山,花园巷小区,3室1厅1卫,86㎡,南北,高楼层/6层,无,2600
亦庄开发区,泰河园三里,1室1厅1卫,56㎡,南北,中楼层/6层,无,3500
门头沟,大峪南路,2室1厅1卫,54㎡,南北,低楼层/6层,无,2400
顺义,石园北区,1室1厅1卫,70㎡,南北,中楼层/6层,无,2900
丰台,玉皇庄小区,2室1厅1卫,69㎡,南北,中楼层/6层,无,3200
亦庄开发区,南海雅苑南区,2室1厅1卫,76㎡,西,低楼层/11层,无,3900
门头沟,惠泽家园,2室1厅1卫,71㎡,南北,高楼层/6层,无,2500
顺义,港馨家园东区,1室1厅1卫,60㎡,南,高楼层/6层,无,2500
朝阳,北平里,3室1厅1卫,83㎡,南北,高楼层/6层,无,4300
门头沟,三家店四局,2室1厅1卫,62㎡,南北,高楼层/6层,无,2400
房山,北潞芳家园,2室1厅1卫,91㎡,南北,高楼层/6层,无,2600
亦庄开发区,宏仁家园,2室1厅1卫,87㎡,南,高楼层/28层,有,3100
大兴,福苑小区,2室1厅1卫,78㎡,南北,中楼层/6层,无,2900
丰台,玉皇庄小区,2室1厅1卫,69㎡,南,高楼层/6层,无,3600
顺义,恒华安纳湖,2室1厅1卫,91㎡,南北,低楼层/15层,有,3000
亦庄开发区,南海雅苑南区,1室1厅1卫,63㎡,西,高楼层/11层,无,3500
顺义,滨河小区,2室1厅1卫,76㎡,南北,高楼层/6层,无,2800
朝阳,南平东里,2室1厅1卫,82㎡,南北,高楼层/6层,无,4500
顺义,下坡屯家园一区,3室1厅1卫,102㎡,南北,低楼层/11层,有,2800
顺义,水色时光五区,2室2厅1卫,101㎡,南北,低楼层/7层,有,3000
朝阳,北平里,3室1厅1卫,68㎡,南北,中楼层/6层,无,4000
朝阳,周庄嘉园4号院,1室1厅1卫,56㎡,南,高楼层/28层,有,4800
朝阳,东泽园,2室1厅1卫,74㎡,南北,低楼层/21层,有,4800
房山,四合巷小区,2室1厅1卫,57㎡,南,高楼层/6层,无,2100
顺义,石园西区,2室1厅1卫,58㎡,南北,高楼层/6层,无,2400
顺义,石园西区,2室1厅1卫,58㎡,南北,高楼层/6层,无,2400
亦庄开发区,一世情园,1室1厅1卫,62㎡,南,中楼层/5层,无,3200
门头沟,月季园东里,2室1厅1卫,58㎡,南北,高楼层/6层,无,2500
石景山,高井,2室1厅1卫,59㎡,南北,低楼层/6层,无,3100
顺义,仓上小区,1室1厅1卫,64㎡,南北,低楼层/6层,无,2700
顺义,顺和花园,2室1厅1卫,80㎡,南北,中楼层/6层,无,3000
顺义,顺兴街17号院,2室1厅1卫,61㎡,西北,中楼层/28层,有,2600
顺义,石园东区,1室1厅1卫,60㎡,南北,高楼层/6层,无,3100
朝阳,方家村,1室1厅1卫,58㎡,南北,低楼层/6层,无,4600
昌平,龙脉温泉,1室1厅1卫,67㎡,南北,高楼层/2层,无,3000
顺义,顺和花园,1室1厅1卫,55㎡,南,高楼层/6层,无,2600
顺义,石园东区,1室1厅1卫,64㎡,南北,低楼层/6层,无,2800
顺义,仁和花园一区,1室1厅1卫,60㎡,南北,低楼层/21层,有,3000
亦庄开发区,新海北里,2室1厅1卫,72㎡,南北,高楼层/6层,无,3300
房山,昊天温泉家园,2室1厅1卫,77㎡,东西,高楼层/6层,无,2300
石景山,燕山水泥厂,2室1厅1卫,57㎡,南,高楼层/6层,无,3200
朝阳,温泉北里,3室1厅1卫,80㎡,东南,高楼层/6层,无,4900
顺义,石园西区,2室1厅1卫,62㎡,南,低楼层/6层,无,2800
门头沟,葡东小区,2室1厅1卫,67㎡,南,高楼层/6层,无,2500
顺义,滨河小区,2室1厅1卫,61㎡,南北,高楼层/6层,无,2500
石景山,燕山水泥厂,2室1厅1卫,60㎡,南,中楼层/6层,无,3500
顺义,维尼纶家属楼,3室1厅1卫,69㎡,南北,低楼层/6层,无,2200
朝阳,东平里,2室1厅1卫,67㎡,南,高楼层/6层,无,5000
房山,行宫园三里,2室1厅1卫,72㎡,南北,高楼层/6层,无,2500
大兴,福苑小区,2室1厅1卫,65㎡,东西,低楼层/6层,无,3000
丰台,晓月苑五里,1室1厅1卫,61㎡,南,中楼层/22层,有,3700
门头沟,黑山北小街11号院,2室1厅1卫,70㎡,南北,高楼层/6层,无,2400
亦庄开发区,南海雅苑北区,1室1厅1卫,61㎡,东西,高楼层/22层,无,3500
顺义,顺兴街17号院,2室1厅1卫,60㎡,西北,低楼层/28层,有,2600
丰台,张仪村4号院,1室1厅1卫,60㎡,东西,中楼层/6层,无,3500
顺义,维尼纶家属楼,3室1厅1卫,69㎡,南北,低楼层/6层,无,2200
朝阳,东平里,2室1厅1卫,67㎡,南,高楼层/6层,无,5000
大兴,福苑小区,2室1厅1卫,65㎡,东西,低楼层/6层,无,3000
亦庄开发区,南海雅苑北区,1室1厅1卫,61㎡,东西,高楼层/22层,无,3500
顺义,滨河小区,2室1厅1卫,58㎡,东南,高楼层/6层,无,2400
朝阳,东平里,2室1厅1卫,58㎡,南,低楼层/6层,无,3900
丰台,张仪村4号院,1室1厅1卫,60㎡,东西,中楼层/6层,无,3500
顺义,顺兴街17号院,2室1厅1卫,60㎡,西北,低楼层/28层,有,2600
门头沟,龙泉花园,2室1厅1卫,70㎡,南北,高楼层/6层,无,2500
朝阳,温泉东里,1室1厅1卫,87㎡,南北,中楼层/7层,无,4200
丰台,玉林东里三区,2室1厅1卫,55㎡,南,高楼层/6层,无,4800
石景山,天翠阳光新城,2室1厅1卫,77㎡,南,低楼层/16层,有,3600
顺义,新马家园,1室1厅1卫,65㎡,南,高楼层/27层,有,2600
顺义,石园西区,1室1厅1卫,59㎡,南北,高楼层/6层,无,3000
朝阳,吕营嘉园C区,1室1厅1卫,54㎡,南北,低楼层/6层,无,4500
朝阳,广播大院,2室1厅1卫,86㎡,南北,高楼层/6层,无,4500
房山,燕都园世界名园北区,2室1厅2卫,103㎡,南北,低楼层/6层,无,2100
石景山,广宁村,2室1厅1卫,57㎡,南北,中楼层/6层,无,3300
大兴,御园C区,2室2厅1卫,89㎡,南北,中楼层/15层,有,2800
大兴,团河苑,2室1厅1卫,61㎡,南北,低楼层/6层,无,3100
大兴,御园A区,2室2厅1卫,85㎡,南北,低楼层/15层,有,2700
朝阳,北平里,2室1厅1卫,58㎡,南北,低楼层/6层,无,4000
顺义,水色时光四区,2室2厅2卫,102㎡,南,高楼层/11层,有,2800
顺义,石园东区,2室1厅1卫,59㎡,南北,低楼层/6层,无,3000
门头沟,新桥大街39号院,1室1厅1卫,65㎡,南北,高楼层/6层,无,2500
门头沟,新桥路小区,2室1厅1卫,61㎡,南北,中楼层/6层,无,2500
朝阳,双桥六号井,2室1厅1卫,57㎡,南,高楼层/4层,无,3600
亦庄开发区,宏仁家园,2室1厅1卫,88㎡,南,中楼层/28层,有,3300
石景山,高井中学教工楼,2室1厅1卫,54㎡,南,高楼层/6层,无,3200
房山,西潞园三里,2室1厅1卫,80㎡,南北,高楼层/6层,无,2500
石景山,高井中学教工楼,2室1厅1卫,54㎡,南,高楼层/6层,无,3200
丰台,丰西北里甲7号院,3室1厅1卫,92㎡,东南,高楼层/6层,无,3900
丰台,新月家园,1室1厅1卫,72㎡,东西,高楼层/6层,无,3800
顺义,仁和花园二区,1室1厅1卫,58㎡,东,中楼层/13层,有,2800
亦庄开发区,宏仁家园,2室1厅1卫,90㎡,南北,高楼层/16层,有,3400
顺义,仓上小区,2室1厅1卫,68㎡,南北,中楼层/6层,无,3000
大兴,华远和墅,2室1厅1卫,74㎡,南北,高楼层/4层,无,2900
房山,西潞园三里,2室1厅1卫,80㎡,南北,高楼层/6层,无,2500
丰台,青塔芳园,1室1厅1卫,65㎡,南北,高楼层/6层,无,3800
石景山,天翠阳光新城,2室1厅1卫,72㎡,南,高楼层/16层,有,3600
顺义,石园西区,1室1厅1卫,58㎡,东,低楼层/6层,无,2500
石景山,天翠阳光新城,2室1厅1卫,77㎡,南,高楼层/16层,有,3500
房山,明源南里,2室1厅1卫,65㎡,南北,中楼层/6层,无,2100
亦庄开发区,米拉小镇,1室1厅1卫,60㎡,东西北,低楼层/18层,有,4000
亦庄开发区,南海雅苑北区,2室1厅1卫,76㎡,东西,高楼层/22层,无,4000
石景山,模式口北里,2室2厅1卫,74㎡,南,中楼层/6层,无,3600
丰台,丰西北里,1室1厅1卫,54㎡,南北,高楼层/6层,无,3100
大兴,新兴家园,2室1厅1卫,90㎡,南北,中楼层/10层,有,3000
房山,北关东路社区,2室1厅1卫,57㎡,南北,高楼层/6层,无,2200
丰台,晓月家园,2室1厅1卫,70㎡,东北,低楼层/21层,有,3900
顺义,马坡花园二区,2室2厅1卫,85㎡,南北,中楼层/5层,无,3000
房山,明源南里,2室1厅1卫,56㎡,南北,高楼层/6层,无,2200
亦庄开发区,宏仁家园,2室1厅1卫,88㎡,南,中楼层/28层,有,3300
亦庄开发区,新海南里,2室1厅1卫,71㎡,南北,低楼层/6层,无,3300
顺义,仁和花园一区,1室1厅1卫,62㎡,东北,高楼层/15层,有,3100
大兴,隆盛园,3室2厅1卫,122㎡,南北,高楼层/6层,无,3100
昌平,大三尖,2室1厅1卫,106㎡,南北,高楼层/6层,无,3000
亦庄开发区,泰河园三里,1室1厅1卫,60㎡,南北,中楼层/6层,无,3500
亦庄开发区,宏仁家园,2室1厅1卫,87㎡,南,高楼层/28层,有,3200
亦庄开发区,泰河园三里,2室1厅1卫,90㎡,南北,高楼层/6层,无,4000
亦庄开发区,泰河园三里,2室1厅1卫,90㎡,南北,高楼层/6层,无,4000
顺义,滨河小区,1室1厅1卫,60㎡,南北,中楼层/5层,无,2500
顺义,石园西区,1室1厅1卫,58㎡,南北,高楼层/6层,无,2300
顺义,滨河小区,1室1厅1卫,60㎡,南北,高楼层/6层,无,2400
房山,建华北里小区,2室1厅1卫,76㎡,南北,高楼层/6层,无,2200
亦庄开发区,宏仁家园,2室1厅1卫,87㎡,南,高楼层/28层,有,3200
顺义,香悦四季,2房间1卫,61㎡,东,高楼层/14层,有,2600
亦庄开发区,泰河园三里,1室1厅1卫,60㎡,南北,中楼层/6层,无,3500
房山,花园巷小区,2室1厅1卫,71㎡,南北,高楼层/6层,无,2300
顺义,滨河小区,2室1厅1卫,59㎡,南北,中楼层/6层,无,2300
昌平,兴隆小区,2室1厅1卫,67㎡,南北,低楼层/6层,无,3000
昌平,郝庄家园东区,2室1厅1卫,66㎡,南北,中楼层/6层,无,3000
昌平,郝庄家园东区,2室1厅1卫,78㎡,南北,高楼层/6层,无,2900
昌平,马池口红冶家属院,2室1厅1卫,73㎡,南北,高楼层/6层,无,2900
昌平,郝庄家园东区,2室1厅1卫,72㎡,南北,高楼层/6层,无,2600
朝阳,兴隆家园,1室0厅1卫,36㎡,北,高楼层/24层,有,5000
朝阳,甘露家园,2室1厅1卫,41㎡,西南,中楼层/5层,无,4800
房山,燕化星城北里,2室1厅1卫,96㎡,南,高楼层/6层,无,2300
东城,安乐林二条,2室1厅1卫,58㎡,南北,高楼层/6层,无,4800
东城,东四块玉南街30号院,2室1厅1卫,58㎡,南北,高楼层/6层,无,5000
石景山,五芳园,1室1厅1卫,48㎡,南,低楼层/6层,无,3700
朝阳,电建北院,1室1厅1卫,41㎡,南,高楼层/6层,无,4300
顺义,双兴南区,1室1厅1卫,68㎡,南北,高楼层/6层,无,2700
朝阳,劲松三区,1室1厅1卫,39㎡,东,低楼层/12层,有,4800
东城,信用北里,1室1厅1卫,36㎡,东,高楼层/5层,无,4400
顺义,建新南区,2室1厅1卫,60㎡,南北,高楼层/6层,无,2700
西城,车站西街17号院,1室1厅1卫,48㎡,南,低楼层/6层,无,4300
朝阳,远洋一方润园6号院,2室1厅2卫,75㎡,东西,低楼层/15层,有,5100
顺义,建新北区,2室1厅1卫,53㎡,南,中楼层/5层,无,3000
房山,伟业嘉园西里,2室1厅1卫,53㎡,南,中楼层/5层,无,2500
顺义,建新北区,2室1厅1卫,53㎡,南,中楼层/5层,无,3000
东城,法华南里,1室1厅1卫,48㎡,东西,中楼层/6层,无,5100
房山,伟业嘉园西里,2室1厅1卫,53㎡,南,中楼层/5层,无,2500
朝阳,平乐园小区,1室1厅1卫,46㎡,南,低楼层/6层,无,4600
顺义,东亚首航国际,1室1厅1卫,50㎡,北东北,低楼层/9层,有,3000
朝阳,瑞祥里,2室1厅1卫,88㎡,南北,中楼层/9层,有,5000
顺义,前进花园一区,2室1厅1卫,65㎡,南北,地下室/6层,无,2600
朝阳,建东苑,2室1厅1卫,70㎡,南北,低楼层/6层,无,4500
朝阳,管庄东里,1室1厅1卫,50㎡,南,低楼层/6层,无,4000
房山,西潞园二里,2室1厅1卫,64㎡,东西,高楼层/7层,无,2300
朝阳,管庄东里,2室1厅1卫,63㎡,南北,低楼层/6层,无,4500
大兴,新安里,2室1厅1卫,64㎡,南北,高楼层/6层,无,3000
朝阳,甘露园西里,1室1厅1卫,41㎡,南,中楼层/6层,无,4300
丰台,红星楼,2室1厅1卫,54㎡,南北,高楼层/5层,无,3300
房山,西潞园一里,2室1厅1卫,53㎡,南北,高楼层/6层,无,2200
朝阳,瑞祥里,2室1厅1卫,72㎡,南,中楼层/10层,有,4500
海淀,西山国际城,1房间1卫,34㎡,西,低楼层/6层,有,3900
朝阳,远洋一方润园3号院,2室1厅1卫,74㎡,东南北,中楼层/18层,有,5000
朝阳,绿岛苑东区,3室1厅1卫,68㎡,南北,高楼层/6层,无,5000
西城,马连道中里,2室1厅1卫,80㎡,南北,高楼层/6层,无,6000
朝阳,京通苑,2室1厅1卫,74㎡,东,高楼层/24层,有,4900
昌平,永安里小区,2室1厅1卫,64㎡,南北,高楼层/6层,无,3000
朝阳,管庄东里,2室1厅1卫,60㎡,南北,低楼层/3层,无,4000
朝阳,远洋一方润园3号院,1室1厅1卫,57㎡,南,中楼层/18层,无,4300
房山,西潞园二里,2室1厅1卫,62㎡,南北,高楼层/6层,无,2300
朝阳,潘家园南里,1室1厅1卫,45㎡,南,高楼层/6层,无,3900
朝阳,八里庄北里小区,1室1厅1卫,50㎡,东,中楼层/6层,无,4800
朝阳,艺水芳园,1室1厅1卫,43㎡,东南,低楼层/15层,有,4000
大兴,南湖园,2室1厅1卫,58㎡,南北,中楼层/4层,无,2200
大兴,双河南里,2室1厅1卫,67㎡,南北,高楼层/6层,无,2900
朝阳,八里庄北里小区,1室1厅1卫,50㎡,东,中楼层/6层,无,4800
大兴,双河南里,2室1厅1卫,67㎡,南北,高楼层/6层,无,2900
顺义,裕龙三区,2室2厅1卫,85㎡,南北,高楼层/6层,无,2800
西城,广安门外南街,1室1厅1卫,42㎡,南,高楼层/6层,无,4300
朝阳,青荷里南山园,2室1厅1卫,83㎡,南,中楼层/29层,有,4600
昌平,西环里,2室1厅1卫,50㎡,南北,中楼层/5层,无,2600
朝阳,管庄东里,2室1厅1卫,55㎡,南北,低楼层/3层,无,3900
朝阳,燕保祈东家园二期,1室1厅1卫,60㎡,南,中楼层/28层,无,4200
朝阳,东一时区,1室1厅1卫,61㎡,南,低楼层/22层,有,4500
朝阳,金蝉北里21号院,2室1厅1卫,59㎡,南,低楼层/6层,无,5100
东城,营房西街,1室1厅1卫,41㎡,南,低楼层/6层,无,5200
朝阳,管庄东里,2室1厅1卫,49㎡,南,低楼层/3层,无,4000
东城,金鱼池西区,1室1厅1卫,46㎡,西,地下室/7层,无,4200
丰台,五爱屯东街64号院,2室1厅1卫,50㎡,南北,中楼层/6层,无,3300
朝阳,高杨树北里,2室1厅1卫,52㎡,南,高楼层/5层,无,4500
西城,右安门内西街甲10号院,1室1厅1卫,39㎡,西南,中楼层/6层,无,3900
丰台,玉皇庄小区,1室1厅1卫,42㎡,南,高楼层/6层,无,2800
朝阳,燕翔西里,1室1厅1卫,50㎡,南,中楼层/5层,无,3300
大兴,西红门路8号院,1室1厅1卫,43㎡,南北,高楼层/5层,无,2500
通州,西潞苑小区,1室0厅1卫,32㎡,南,低楼层/4层,无,2600
门头沟,月季园东里,1室1厅1卫,42㎡,南,高楼层/6层,无,2200
顺义,首创派尚国际,1室1厅1卫,42㎡,东,中楼层/11层,有,3000
朝阳,将府锦苑,1室1厅1卫,50㎡,南,中楼层/28层,有,5000
昌平,沙河一通,1室1厅1卫,43㎡,南,高楼层/5层,无,3000
房山,四合巷小区,1室1厅1卫,40㎡,南,中楼层/6层,无,1900
海淀,毛纺厂南小区,1室1厅1卫,38㎡,南,低楼层/6层,无,4500
门头沟,城子二斜井,1室1厅1卫,42㎡,南,高楼层/6层,无,2100
顺义,炫立方,2房间1卫,40㎡,西,中楼层/10层,有,3100
顺义,中国铁建顺鑫汇,1室1厅2卫,47㎡,东,低楼层/9层,有,3000
朝阳,首都机场南路西里,2室1厅1卫,48㎡,南北,高楼层/4层,无,2800
顺义,中国铁建顺鑫汇,1室1厅2卫,47㎡,东,低楼层/9层,有,3000
顺义,樱花园一区,1室1厅1卫,48㎡,南北,低楼层/7层,无,2500
顺义,顺兴街17号院,1室1厅1卫,51㎡,南,低楼层/28层,有,2400
朝阳,红松园小区,1室1厅1卫,43㎡,南,高楼层/6层,无,3400
房山,加州水郡Q酷,1房间1卫,27㎡,南,中楼层/14层,有,1600
朝阳,首都机场南路西里,2室1厅1卫,48㎡,南北,高楼层/4层,无,2800
朝阳,炫特嘉园一期,1室1厅1卫,33㎡,西,低楼层/18层,有,4600
顺义,石园东区,2室1厅1卫,68㎡,南北,中楼层/6层,无,2800
海淀,花园村小区,1室0厅0卫,18㎡,南,中楼层/5层,无,3600
朝阳,炫特嘉园三期,1室0厅1卫,41㎡,北,低楼层/24层,有,4600
朝阳,炫特嘉园三期,1室0厅1卫,41㎡,北,中楼层/25层,有,4800
朝阳,大成国际,1室0厅1卫,40㎡,西,低楼层/21层,有,5000
亦庄开发区,林肯公园,1房间1卫,35㎡,北,低楼层/24层,有,4000
东城,兴隆都市馨园,1室0厅1卫,21㎡,东,高楼层/7层,有,4800
东城,兴隆都市馨园,1室0厅1卫,28㎡,南,中楼层/7层,有,5500
东城,兴隆都市馨园,1室0厅1卫,28㎡,南,中楼层/7层,有,4900
东城,禄米仓东巷,1室0厅0卫,10㎡,南,低楼层/1层,无,2600
石景山,八角路小区,2室1厅1卫,50㎡,南,低楼层/5层,无,3100
东城,光明楼,2室1厅1卫,51㎡,南北,中楼层/4层,无,4200
顺义,蓝星花园,1室0厅1卫,28㎡,西,中楼层/11层,有,2900
顺义,蓝星花园,1室0厅1卫,31㎡,西,高楼层/11层,有,2900
朝阳,炫特嘉园一期,1室0厅1卫,37㎡,西,中楼层/28层,有,4700
东城,后永康一巷,1室1厅0卫,15㎡,南,低楼层/1层,无,3800
海淀,理工大学附中家属楼,1室0厅1卫,20㎡,南,高楼层/6层,无,3400
海淀,高巢,1房间1卫,35㎡,北,地下室/15层,有,2500
朝阳,美然动力A3区,1室0厅1卫,51㎡,南,低楼层/6层,无,4800
房山,天恒乐活城,1室0厅1卫,47㎡,南,中楼层/4层,无,2200
海淀,SOCO公社,1房间1卫,43㎡,北,高楼层/15层,有,4100
东城,禄米仓胡同,1室0厅1卫,20㎡,北,低楼层/1层,无,3900
朝阳,美然动力A2区,1室0厅1卫,44㎡,南,中楼层/14层,有,4600
亦庄开发区,国融国际,1室0厅1卫,33㎡,东,高楼层/23层,有,3600
丰台,世纪金色嘉园,1室0厅1卫,30㎡,东,低楼层/30层,有,3900
朝阳,美然动力A2区,1室0厅1卫,48㎡,南,低楼层/14层,有,5000
